Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$215,000",, 2,,213 Chase Ct 60440,4.0,3,"2,244",,, 3,, 8, 0,,,," $4,832.52"

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$260,000",, 2, BOLINGBROOK HIGH SCHOOL,541 Kingsbrooke Xing 60440,4.0,3.5,"1,844",,, 3, 1, 18, 4,,,," $6,927"

"Detached Single Family, Split-Level with Sub-Basement",,1976,Bolingbrook,,"$204,500",, 2,,439 Alcester Ct 60440,4.0,2.5,"1,913",,, 2, 1, 0, 0,,,," $6,066.90"

Condo,$131/month,1972,Bolingbrook,,"$71,000",, 2,,10 Fernwood Dr 60440,4.0,1,"1,188",,, 1,, 0, 0,,,, $730.26

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$258,900",, 2,,493 Bradford Pl 60490,3.0,2.5,"2,296",,, 2, 1, 14, 4,,,," $6,918"

"Detached Single Family, 2 Stories",$12/month,2002,Bolingbrook,,"$216,000",, 2,,278 Clarendon Ln 60440,4.0,2.5,"1,520",,, 2, 1, 14, 8,,,," $8,504.06"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$430,000",, 2,,562 Warbler Dr 60440,4.0,2.5,"2,837",,, 2, 1, 0, 22,,,," $11,107"

"Attached Single Family, Townhouse (2 Story)",$145/month,1969,Bolingbrook,,"$128,000",, 2,,400 Colony Ct 60440,3.0,1.5,"1,470",,, 1, 1, 0, 0,,,," $1,664.54"

"Detached Single Family, Raised Ranch",,1969,Bolingbrook,,"$197,000",, 3, Bolingbrook High School,305 Hadleigh Rd 60440,3.0,1.5,"1,300",,, 1, 1, 2, 0,,,," $3,790.84"

"Detached Single Family, 2 Stories",$25/month,2002,Bolingbrook,,"$339,000",, 3, PLAINFIELD EAST HIGH SCHOOL,2190 Muirfield Trl 60490,5.0,3,"3,214",,, 3,, 16, 6,,,," $8,887.36"

Condo/Co-op,,2005,,,"$197,000",,,,1459 Shagbark Dr 60490,,2.5,"1,438",,,,, 0, 0,,,,

Condo/Co-op,,1973,,,"$120,000",,,,FERNWOOD DR 60440,,,880,,,,, 0, 0,,,,

Single Family Residential,,1975,,,"$180,000",,,,243 Gettysburg Dr 60440,3.0,1.5,"1,548",,,,, 0, 0,,,,

"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$174,900",, 1.5,,104 Olympic Dr 60440,3.0,1,"1,112",,, 1,, 6, 0,,,," $3,908.96"

"Attached Single Family, Townhouse (Ranch)",$99/month,1972,Bolingbrook,,"$70,100",, 1,,10 Fernwood Dr 60440,2.0,1,892,,, 1,, 0, 0,,,," $1,052.42"

"Attached Single Family, Townhouse (2 Story)",$185/month,2002,Bolingbrook,,"$218,000",, 2, BOLINGBROOK HIGH SCHOOL,543 Goodwin Dr 60440,2.0,2.5,"1,750",,, 2, 1, 6, 4,,,," $5,187"

"Attached Single Family, Townhouse (2 Story)",$186/month,1971,Bolingbrook,,"$177,500",, 1, BOLINGBROOK HIGH SCHOOL,547 Norman Rd 60440,3.0,2.5,"1,460",,, 2, 1, 2, 0,,, 575," $4,252.60"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$251,250",, 2, BOLINGBROOK HIGH SCHOOL,1104 Jennifer Ln 60440,3.0,3.5,"1,820",,, 3, 1, 10, 0,,,," $7,248.76"

"Detached Single Family, 1 Story",,1994,Bolingbrook,,"$268,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1840 Apple Valley Rd 60490,4.0,2,"1,565",,, 2,, 10, 0,,,," $6,212"

"Detached Single Family, 2 Stories",,1990,Bolingbrook,,"$238,500",, 2,,1108 Collingwood Ln 60440,3.0,2.5,"1,820",,, 2, 1, 12, 6,,,," $7,377.62"

"Detached Single Family, 2 Stories",$10/month,1987,Bolingbrook,,"$337,000",, 6, BOLINGBROOK HIGH SCHOOL,805 Bonnie Brae Ct 60440,4.0,2.5,"2,926",,, 2, 1, 14, 4,,,," $11,327.98"

"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$173,000",, 1,,145 Springhill Dr 60440,3.0,1,"1,083",,, 1,, 0, 12,,,," $3,866"

Other,,,,,"$368,000",,,,2356 Brookstone Dr 60490,,,"3,190",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$428,000",, 3,,1788 Trevino Cir 60490,4.0,2.5,"3,566",,, 2, 1, 14, 12,,,," $11,861"

"Attached Single Family, Townhouse (2 Story)",$186/month,1971,Bolingbrook,,"$177,500",, 1, BOLINGBROOK HIGH SCHOOL,547 Norman Rd 60440,3.0,2.5,"1,460",,, 2, 1, 2, 0,,, 575," $4,252.60"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$251,250",, 2, BOLINGBROOK HIGH SCHOOL,1104 Jennifer Ln 60440,3.0,3.5,"1,820",,, 3, 1, 10, 0,,,," $7,248.76"

"Detached Single Family, 1 Story",,1994,Bolingbrook,,"$268,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1840 Apple Valley Rd 60490,4.0,2,"1,565",,, 2,, 10, 0,,,," $6,212"

"Detached Single Family, 2 Stories",,1990,Bolingbrook,,"$238,500",, 2,,1108 Collingwood Ln 60440,3.0,2.5,"1,820",,, 2, 1, 12, 6,,,," $7,377.62"

"Detached Single Family, 2 Stories",$10/month,1987,Bolingbrook,,"$337,000",, 6, BOLINGBROOK HIGH SCHOOL,805 Bonnie Brae Ct 60440,4.0,2.5,"2,926",,, 2, 1, 14, 4,,,," $11,327.98"

"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$173,000",, 1,,145 Springhill Dr 60440,3.0,1,"1,083",,, 1,, 0, 12,,,," $3,866"

Other,,,,,"$368,000",,,,2356 Brookstone Dr 60490,,,"3,190",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$428,000",, 3,,1788 Trevino Cir 60490,4.0,2.5,"3,566",,, 2, 1, 14, 12,,,," $11,861"

"Detached Single Family, 2 Stories",,1991,Bolingbrook,,"$215,000",, 2,,1399 Comanche Dr 60490,3.0,2.5,,,, 2, 1, 14, 0,,,," $6,529.26"

"Detached Single Family, 1 Story",,1971,Bolingbrook,,"$138,000",, 1, BOLINGBROOK HIGH SCHOOL,148 S Schmidt Rd 60440,3.0,1,"1,219",,, 1,, 0, 0,,,," $4,933"

"Detached Single Family, 2 Stories",,2002,Bolingbrook,,"$253,050",, 3, Plainfield East High School,1632 Prairieview Blvd 60490,4.0,2.5,"2,500",,, 2, 1, 12, 8,,,," $9,925"

"Detached Single Family, 2 Stories",$25/month,2001,Bolingbrook,,"$288,000",, 2, Plainfield East High School,803 Sapphire Dr 60490,4.0,2.5,"2,250",,, 2, 1, 10, 10,,,," $7,809"

"Attached Single Family, Townhouse (2 Story)",$150/month,1994,Bolingbrook,,"$218,000",, 2,,349 Inner Cir Dr 60490,3.0,2.5,"1,892",,, 2, 1, 0, 0,,,," $5,241"

"Detached Single Family, Raised Ranch",,1970,Bolingbrook,,"$163,258",, 2.5,,222 Pacific Dr 60440,5.0,2,"1,440",,, 2,, 8, 8,,,," $4,446"

"Detached Single Family, 2 Stories",,2000,Bolingbrook,,"$294,500",, 3,,316 Fox Bend Cir 60440,3.0,2.5,"2,582",,, 2, 1, 6, 10,,,," $8,451.52"

"Attached Single Family, Townhouse (2 Story)",$218/month,2001,Bolingbrook,,"$204,500",, 2, Bolingbrook High School,1094 Lily Field Ln 60440,2.0,2.5,"1,519",,, 2, 1, 10, 0,,,," $5,371.72"

"Detached Single Family, 2 Stories",$29/month,2005,Bolingbrook,,"$252,000",, 2, Bolingbrook High School,251 S Cranberry St 60490,4.0,2.5,"2,267",,, 2, 1, 8, 0,,,," $11,019.58"

"Attached Single Family, 1/2 Duplex",$120/month,1970,Bolingbrook,,"$115,000",, 2,,30V S Fernwood Dr 60440,3.0,1,924,,, 1,, 0, 0,,,," $1,260.56"

"Detached Single Family, Split-Level",,1974,Bolingbrook,,"$189,000",, 1,,852 Grove Ln 60440,3.0,1.5,"1,348",,, 1, 1, 0, 12,,,," $5,384"

"Attached Single Family, Townhouse (2 Story)",$185/month,2001,Bolingbrook,,"$229,000",, 2,,511 Goodwin Dr 60440,3.0,2.5,"1,890",,, 2, 1, 6, 2,,,," $6,054.36"

Single Family Residential,,1973,,,"$250,000",,,,2 Rye Ct 60440,4.0,3,"2,050",,,,, 0, 0,,,,

Other,,2007,,,"$850,000",,,,22 Emma Ct 60440,,2.5,"1,896",,,,, 0, 0,,,,

Single Family Residential,,1987,,,"$160,000",,,,268 Buli Ln 60490,,2,"1,902",,,,, 0, 0,,,,

Single Family Residential,,1999,,,"$300,000",,,,708 Stonebridge Dr 60490,5.0,3.5,"4,000",,,,, 0, 0,,,,

"Detached Single Family, Split-Level",,1964,Bolingbrook,,"$162,500",, 1.5,,450 E Briarcliff Rd 60440,4.0,1.5,"1,550",,, 1, 1, 8, 0,,,," $5,267"

"Detached Single Family, Split-Level",$9/month,2001,Bolingbrook,,"$274,000",, 2, BOLINGBROOK HIGH SCHOOL,2 Bosi Ct 60490,3.0,2.5,"1,800",,, 2, 1, 10, 0,,,," $7,087.68"

Other,,1972,,,"$115,000",,,,14 Fernwood Dr 60440,,,880,,,,, 0, 0,,,,

"Attached Single Family, Townhouse (2 Story)",$177/month,1972,Bolingbrook,,"$185,000",, 2,,245 Porter Ln 60440,4.0,2.5,"1,754",,, 2, 1, 0, 0,,,," $4,553"

"Attached Single Family, Manor Home/Coach House/Villa, Townhouse (Ranch), Ground Level Ranch",$237/month,2011,Bolingbrook,,"$352,000",, 2, PLAINFIELD EAST HIGH SCHOOL,1210 John Hancock Dr 60490,4.0,3,"1,730",,, 3,, 0, 2,,,," $7,070.80"

Single Family Residential,,1972,,,"$145,000",,,,494 Seneca Ln 60440,,1,"1,451",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2015,Bolingbrook,,"$345,000",, 3, PLAINFIELD EAST HIGH SCHOOL,2498 River Hills Ln 60490,4.0,2.5,"2,658",,, 2, 1, 10, 12,,,," $6,180.28"

"Detached Single Family, 2 Stories",,1970,Bolingbrook,,"$236,700",, 2,,148 Newport Dr 60440,4.0,2.5,"2,230",,, 2, 1, 0, 0,,,," $5,637.92"

"Detached Single Family, Split-Level",,1962,Bolingbrook,,"$213,000",, 3,,530 E Briarcliff Rd 60440,4.0,2,"1,550",,, 2,, 0, 0,,,," $4,878.92"

"Attached Single Family, Townhouse (2 Story)",$186/month,1972,Bolingbrook,,"$156,600",, 3, BOLINGBROOK HIGH SCHOOL,211 Monroe Rd 60440,3.0,1.5,"1,180",,, 1, 1, 10, 2,,,," $3,808"

Condo/Co-op,,2006,,,"$293,000",,,,1200 Betsy Ross Pl 60490,,3,"2,013",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2006,Bolingbrook,,"$580,000",, 3, NEUQUA VALLEY HIGH SCHOOL,1859 Pampas Cir 60490,5.0,3.5,"4,200",,, 3, 1, 16, 8,,,," $14,340"

Condo,$212/month,2003,Bolingbrook,,"$182,000",, 2.5,,141 Enclave Cir 60440,3.0,2.5,"1,619",,, 2, 1, 6, 6,,,," $3,764"

"Detached Single Family, Split-Level",,1976,Bolingbrook,,"$200,000",, 1,,311 Dean Cir 60440,3.0,2.5,"1,548",,, 2, 1, 10, 0,,,," $5,835"

Condo/Co-op,,1972,,,"$80,000",,,,3 Wildwood Ln 60440,,1,728,,,,, 0, 0,,,,

"Attached Single Family, Townhouse (2 Story)",$162/month,2004,Bolingbrook,,"$203,500",, 2, BOLINGBROOK HIGH SCHOOL,1526 Shagbark Dr 60490,2.0,2.5,"1,650",,, 2, 1, 0, 0,,,," $5,176"

"Attached Single Family, 1/2 Duplex",,1977,Bolingbrook,,"$130,100",, 1,,350 Kirkwood Cir 60440,3.0,2.5,"1,329",,, 2, 1, 8, 0,,,," $3,263"

"Attached Single Family, Townhouse (2 Story)",$186/month,1972,Bolingbrook,,"$182,000",, 2, Bolingbrook High School,215 Diane Ln 60440,3.0,2.5,"1,320",,, 2, 1, 8, 0,,,," $4,347.74"

"Attached Single Family, Townhouse (2 Story)",$186/month,1972,Bolingbrook,,"$133,000",, 1,,203 Monroe Rd 60440,2.0,1.5,"1,180",,, 1, 1, 8, 0,,, 512," $4,315.98"

"Attached Single Family, Townhouse (2 Story)",$165/month,1970,Bolingbrook,,"$130,000",, 2, BOLINGBROOK HIGH SCHOOL,410 Providence Ct 60440,2.0,1.5,"1,200",,, 1, 1, 6, 0,,,," $1,833"

"Attached Single Family, Townhouse (2 Story)",$186/month,1971,Bolingbrook,,"$195,000",, 2,,144 Julie Rd 60440,3.0,2.5,"1,320",,, 2, 1, 8, 8,,,," $4,210"

"Detached Single Family, 2 Stories",$25/month,2002,Bolingbrook,,"$291,000",, 2, Plainfield East High School,1497 Waterside Dr 60490,4.0,2.5,"2,000",,, 2, 1, 8, 10,,,," $8,139"

"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$225,000",, 2,,530 Castle Ct 60440,3.0,1.5,"2,189",,, 1, 1, 10, 0,,,," $5,152"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$150,900",, 2, BOLINGBROOK HIGH SCHOOL,352 Wildflower Way 60440,3.0,2.5,"1,731",,, 2, 1, 0, 0,,,," $5,960.10"

"Detached Single Family, Other",$15/month,2002,Bolingbrook,,"$322,000",, 2, BOLINGBROOK HIGH SCHOOL,824 Brompton Ln 60440,4.0,3.5,"2,737",,, 3, 1, 18, 4,,,," $11,416.44"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$204,000",, 2,,688 Lakewood Farms Dr 60490,3.0,2.5,195,,, 2, 1, 8, 4,,,," $6,529.26"

"Detached Single Family, 2 Stories",$13/month,2002,Bolingbrook,,"$285,000",, 2, PLAINFIELD EAST HIGH SCHOOL,1628 Prairieview Blvd 60490,3.0,2.5,"2,579",,, 2, 1, 10, 0,,,," $9,567.94"

"Attached Single Family, Townhouse (2 Story)",$120/month,1973,Bolingbrook,,"$174,000",, 1,,285 Dupage Dr 60440,3.0,1.5,"1,392",,, 1, 1, 8, 2,,,," $3,333"

"Attached Single Family, Townhouse (2 Story)",$120/month,1984,Bolingbrook,,"$145,000",, 1,,346 Redwing Dr 60440,3.0,1.5,"1,050",,, 1, 1, 0, 6,,,," $3,172.82"

"Detached Single Family, 2 Stories",,1972,Bolingbrook,,"$230,000",, 2,,337 Lancelot Ct 60440,3.0,2.5,"2,002",,, 2, 1, 14, 0,,,," $7,122"

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$261,000",, 2, Bolingbrook High School,401 S Orchard Dr 60440,3.0,2.5,"2,449",,, 2, 1, 14, 0,,,," $9,457"

"Detached Single Family, 1.5 Story",,1971,Bolingbrook,,"$198,500",, 2, BOLINGBROOK HIGH SCHOOL,7 Liberty Ct 60440,4.0,2,"1,950",,, 2,, 12, 2,,,," $6,099.70"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$250,000",, 2, BOLINGBROOK HIGH SCHOOL,4 Collingwood Ct 60440,3.0,2.5,"1,820",,, 2, 1, 4, 0,,,," $7,581.66"

Condo/Co-op,,1996,,,"$134,500",,,,352 Windsong Ct 60440,,1,792,,,,, 0, 0,,,,

Other,,1972,,,"$125,000",,,,616 N Ashbury Ave 60440,,2,"1,587",,,,, 0, 0,,,,

"Detached Single Family, Raised Ranch",,1974,Bolingbrook,,"$205,000",, 2, BOLINGBROOK HIGH SCHOOL,340 Ruth Cir 60440,3.0,1.5,"1,842",,, 1, 1, 6, 0,,,," $3,018"

"Detached Single Family, Raised Ranch",,1976,Bolingbrook,,"$156,000",, 2,,176 Grady Dr 60440,3.0,1.5,"1,145",,, 1, 1, 0, 0,,,," $5,058.02"

"Detached Single Family, 2 Stories",$28/month,2004,Bolingbrook,,"$285,000",, 2, BOLINGBROOK HIGH SCHOOL,175 S Cranberry St 60490,4.0,2.5,"2,267",,, 2, 1, 16, 0,,,," $10,593.42"

"Attached Single Family, Ground Level Ranch",$245/month,2018,Bolingbrook,,"$280,300",, 2,,1126 Mandalay Ln 60490,2.0,2,"1,437",,, 2,, 8, 0,,,,

Other,,1984,,,"$160,000",,,,348 Homewood Dr 60440,,1,"1,115",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$29/month,2008,Bolingbrook,,"$325,000",, 2,,1302 Riverview Ln 60490,4.0,2.5,"3,120",,, 2, 1, 16, 6,,, 1560," $8,870.20"

Single Family Residential,,1979,,,"$220,000",,,,679 Niagara Dr 60440,4.0,1,"1,279",,,,, 0, 0,,,,

"Detached Single Family, 2 Stories",$39/month,2004,Bolingbrook,,"$265,500",, 2, BOLINGBROOK HIGH SCHOOL,239 Claridge Cir 60440,4.0,2.5,,,, 2, 1, 0, 0,,,," $10,899.98"

"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$299,000",, 2, SOUTH HIGH SCHOOL,1070 N Ashbury Ave 60440,4.0,2.5,"2,000",,, 2, 1, 4, 10,,,," $6,763.66"

"Detached Single Family, Raised Ranch",,1977,Bolingbrook,,"$204,000",, 2,,1147 Quail Run Ave 60490,3.0,2,"1,900",,, 2,, 8, 0,,,," $6,067"

"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$237,500",, 2, Bolingbrook High School,155 Chestnut Ln 60490,5.0,2.5,"2,225",,, 2, 1, 14, 6,,,," $7,926.16"

"Attached Single Family, Townhouse (2 Story)",$186/month,1971,Bolingbrook,,"$148,500",, 1, BOLINGBROOK HIGH SCHOOL,168 Roberts Rd 60440,2.0,1.5,"1,272",,, 1, 1, 0, 0,,,," $3,565"

"Detached Single Family, 1 Story",,1979,Bolingbrook,,"$188,000",, 2,,652 Chesapeake Dr 60440,3.0,1,"1,322",,, 1,, 6, 8,,,," $5,283.54"

"Detached Single Family, 2 Stories",$12/month,2002,Bolingbrook,,"$280,000",, 2, BOLINGBROOK HIGH SCHOOL,902 Pembrook Ln 60440,4.0,2.5,"2,713",,, 2, 1, 12, 0,,,," $10,855.88"

"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$210,000",, 2,,8 Redspire Ct 60490,3.0,2.5,"2,200",,, 2, 1, 10, 0,,,," $7,573.78"

"Detached Single Family, 2 Stories",$25/month,2005,Bolingbrook,,"$339,000",, 3, BOLINGBROOK HIGH SCHOOL,365 Hogan St 60490,4.0,3.5,"2,894",,, 3, 1, 26, 6,,,," $12,483"

"Attached Single Family, 1/2 Duplex",,1978,Bolingbrook,,"$149,500",, 1,,217 Coral Ct 60440,3.0,2.5,"1,329",,, 2, 1, 0, 0,,,," $2,416.26"

"Detached Single Family, 1 Story",,1978,Bolingbrook,,"$195,000",, 4,,703 Chesapeake Dr 60440,3.0,1,"1,352",,, 1,, 0, 2,,,," $4,338.52"

"Detached Single Family, Raised Ranch",,1971,Bolingbrook,,"$193,875",, 2, Bolingbrook High School,637 N Pinecrest Rd 60440,3.0,2,"1,921",,, 2,, 0, 2,,,," $5,845.26"

"Detached Single Family, 2 Stories",,1997,Bolingbrook,,"$335,000",, 3, Neuqua Valley High School,135 Willow Bnd 60490,4.0,2.5,"2,565",,, 2, 1, 8, 0,,,," $8,370.76"

"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$245,000",, 2,,546 Springwood Ln 60440,3.0,2.5,"2,052",,, 2, 1, 8, 0,,, 462," $6,583"

"Attached Single Family, Townhouse (Ranch)",$250/month,2011,Bolingbrook,,"$399,000",, 2,,1200 John Hancock Dr 60490,4.0,3,"2,172",,, 3,, 6, 6,,,," $8,081.22"

"Detached Single Family, 2 Stories",$8/month,2004,Bolingbrook,,"$320,000",, 2.5, BOLINGBROOK HIGH SCHOOL,366 Aviary Ln 60490,4.0,2.5,"2,800",,, 2, 1, 10, 8,,,," $9,886"

"Attached Single Family, Townhouse (2 Story)",$170/month,1978,Bolingbrook,,"$124,900",, 1, BOLINGBROOK HIGH SCHOOL,454 Sullivan Cir 60440,3.0,1.5,"1,224",,, 1, 1, 10, 0,,,," $3,641"

"Detached Single Family, Raised Ranch",,1979,Bolingbrook,,"$240,000",, 2,,1120 Partridge Ave 60490,4.0,3,"2,244",,, 3,, 12, 0,,,," $7,145"

"Detached Single Family, Raised Ranch",,1980,Bolingbrook,,"$283,000",, 2.5, SOUTH HIGH SCHOOL,976 N Ashbury Ave 60440,6.0,3,"2,986",,, 3,, 14, 0,,,," $6,843"

"Detached Single Family, 2 Stories",$28/month,2005,Bolingbrook,,"$300,000",, 2, Bolingbrook High School,389 Hogan St 60490,4.0,2.5,"2,564",,, 2, 1, 14, 6,,,," $12,218.40"

"Detached Single Family, 2 Stories",,1962,Bolingbrook,,"$165,000",, 1,,520 Spruce Rd 60440,4.0,2.5,"1,488",,, 2, 1, 0, 0,,,," $4,177.44"

