Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
Single Family Residential,,1971,Bolingbrook,,,, 2, Bolingbrook High School,12 Dorchester Ct 60440,4.0,2,"1,950"," Natural Gas, Forced Air", Central Air, 2,, 12, 0, Full, Finished,," $6,439.96", 7

Single Family Residential,,1962,Bolingbrook,,"$235,000",, 2,,526 White Oak Rd 60440,4.0,2,"1,162"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $5,188", 7

Single Family Residential,,2002,Foxridge Farms,,"$450,000",, 3, Plainfield East High School,2068 Mark Cir 60490,5.0,4,"3,200", Natural Gas, Central Air, 4,, 2, 2, Full, Partially Finished,," $9,166.22", 9

Single Family Residential,,1970,Bolingbrook,,"$340,000",, 2,,5 Swinford Ct 60440,4.0,2.5,"2,055"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial," Finished,Crawl",," $7,558.46", 11

Single Family Residential,$30/month,2004,Augusta Village,,,, 2, Bolingbrook High School,163 S Cranberry St 60490,4.0,2.5,," Natural Gas, Forced Air", Central Air, 2, 1, 8, 12, Full," Unfinished,Bathroom Rough-In,8 ft + pour,Concrete (Basement)",," $11,406.26", 8

Townhouse,$142/month,1974,Indian Oaks,,,, 4, Bolingbrook High School,616 Pontiac Ln 60440,3.0,1.5,"1,536"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Full, Finished, 765," $4,982", 8

Single Family Residential,$29/month,2014,River Hills,,"$419,900",, 3, Plainfield East High School,2285 Brookstone Dr 60490,4.0,2.5,"2,720"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Unfinished,," $8,663", 10

Single Family Residential,$18/month,2003,Southgate Park,,,, 3, Plainfield East High School,742 Delacourte Ave 60490,4.0,3,"3,242"," Natural Gas, Forced Air", Central Air, 2, 2, 6, 20, Full, Finished,," $10,732.36", 12

Single Family Residential,,1962,Bolingbrook,,"$315,000",, 2.5, Bolingbrook High School,141 Kingston Rd 60440,5.0,2,"1,672"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, Slab,," $5,921.58", 9

Single Family Residential,$21/month,2003,Lakewood Ridge,,"$335,000",, 2,,425 Clifton Ln 60440,4.0,2.5,"2,009"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2," Full, Walkout"," Unfinished,Bathroom Rough-In",," $10,244.22", 8

Single Family Residential,,1984,Bolingbrook,,,, 2, Bolingbrook High School,1038 Bothwell Cir 60440,3.0,2.5,"1,650", Natural Gas, Central Air, 2, 1, 6, 0,, Crawl,," $7,670", 7

Single Family Residential,,1995,Bolingbrook,,"$376,000",, 2, Bolingbrook High School,515 Springwood Ln 60440,3.0,2.5,"1,758"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Partial," Partially Finished,Crawl,Egress Window",," $7,645.14", 8

Single Family Residential,,1980,Bolingbrook,,"$220,000",, 1,,1063 Crestwood Ln 60440,3.0,1,"1,263", Natural Gas, Central Air, 1,, 0, 0,, None,," $4,888.38", 6

Other,,1976,,,"$230,000",,,,212 Yellow Pine Dr 60440,,1.5,"1,760",,,,, 0, 0,,,,,

Single Family Residential,,1979,Indian Oaks,,"$305,000",, 2, Bolingbrook High School,1072 Churchill Dr 60440,4.0,2.5,"2,201"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial," Finished,Sub-Basement",," $7,105.52", 9

Single Family Residential,$37/month,1993,Riverwoods,,"$445,000",, 2,,426 York St 60440,4.0,3.5,"3,056"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2," Full, Walkout", Finished," 1,084"," $14,033.12", 10

Other,,1989,,,"$425,000",,,,824 Tam O Shanter Cir 60440,,3.5,"2,483",,,,, 0, 0,,,,,

Single Family Residential,,1963,Bolingbrook,,"$280,000",, 4,,149 Vernon Dr 60440,5.0,2,"2,000", Natural Gas, Central Air, 2,, 0, 0, Walkout, Exterior Access,," $5,753.92", 9

Townhouse,$150/month,1999,Pinebrook,,,, 2,,1424 White Pine Ln 60490,3.0,2.5,"1,607"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 6,, None,," $7,157.52", 7

Condo,$200/month,1991,Bolingbrook,,,, 2,,328 Lakeview Cir 60440,2.0,2.5,"1,306", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $5,036.12", 6

Other,,2003,,,"$315,000",,,,187 Holly St 60490,3.0,2.5,"1,775",,,,, 0, 0,,,,, 7

Single Family Residential,,1970,Sugarbrook,,"$228,500",, 1, Bolingbrook High School,152 Bedford Rd 60440,3.0,1,"1,300"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, Crawl,," $4,800", 7

Single Family Residential,,1976,Bolingbrook,,"$215,000",, 1, Bolingbrook High School,265 Yellow Pine Dr 60440,3.0,2,"1,450", Natural Gas, Central Air, 2,, 0, 0,, None,," $5,732", 7

Single Family Residential,$10/month,1998,River Bend,,"$486,500",, 2, Neuqua Valley High School,1906 Danube Way 60490,4.0,3,"2,774"," Natural Gas, Forced Air", Central Air, 3,, 0, 2, Full, Unfinished," 1,480"," $9,471", 9

Single Family Residential,,1977,Bolingbrook,,,, 1,,1067 Towner Dr 60440,3.0,1.5,"1,441", Natural Gas, Central Air, 1, 1, 4, 4,, Slab,," $5,812.74", 7

Single Family Residential,,1997,Bradford Place,,,, 2,,331 Aristocrat Dr 60490,4.0,2.5,"2,000"," Natural Gas, Forced Air", Central Air, 2, 1, 12, 4, Full, Unfinished,," $8,924.08", 8

Single Family Residential,,1978,Willow Grove,,"$215,000",, 2, Bolingbrook High School,1082 Jennifer Ln 60440,3.0,1.5,"1,768", Natural Gas, Central Air, 1, 1, 0, 0, Walkout, Finished,," $6,501.46", 7

Other,,,,,"$329,900",,,,1287 Balboa Cir 60490,,,,,,,, 0, 0,,,,,

Single Family Residential,,1972,,,"$280,000",,,,605 Ponderosa Dr 60440,,1,932,,,,, 0, 0,,,,,

Other,,1993,,,"$290,000",,,,189 Penny Ln 60440,4.0,2.5,"1,608",,,,, 0, 0,,,,, 8

Single Family Residential,$12/month,2002,Lakewood Ridge,,,, 3,,223 Clifton Ln 60440,4.0,2.5,"2,351", Natural Gas, Central Air, 2, 1, 8, 0, Full, Unfinished,," $11,421", 9

Single Family Residential,,1994,Bolingbrook,,"$450,000",, 3,,868 Bluestem Dr 60440,5.0,3,"2,561"," Natural Gas, Forced Air", Central Air, 3,, 0, 2, Partial," Finished,Crawl,Exterior Access,Walk-Up Access",," $11,418.10", 9

Townhouse,$152/month,1970,Beaconridge,,"$142,500",, 2,,412 Yorkshire Sq 60440,4.0,1.5,"1,610"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Full, Unfinished,," $1,839.85", 7

Single Family Residential,,1977,Winston Woods,,"$305,000",, 2, Bolingbrook High School,419 Charlestown Dr 60440,4.0,2.5,"2,132", Natural Gas, Central Air, 2, 1, 0, 2, Partial, Finished,," $8,366.24", 8

Townhouse,$199/month,1972,Bolingbrook,,"$215,000",, 1, Bolingbrook High School,219 Douglass Way 60440,3.0,2.5,"1,320"," Forced Air, Steam", Central Air, 2, 1, 0, 2, Full, Unfinished,," $5,070.10", 6

Single Family Residential,,1972,Bolingbrook,,,, 2, Bolingbrook High School,221 Lafayette Dr 60440,3.0,1.5,888, Natural Gas, Central Air, 1, 1, 0, 0,, None,," $4,625.44", 5

Townhouse,$138/month,1972,Indian Oaks,,"$174,250",, 1, Bolingbrook High School,337 Ozark Dr 60440,3.0,1.5,"1,250", Natural Gas, Central Air, 1, 1, 0, 0,, Slab,," $4,150.86", 7

Single Family Residential,,1995,Cider Creek,,,, 2, Neuqua Valley High School,201 Periwinkle Ln 60490,3.0,2.5,"1,782", Natural Gas, Central Air, 2, 1, 0, 0, Full, Finished,," $7,062.94", 7

Townhouse,$152/month,1970,Bolingbrook,,,, 2,,434 Devonshire Ct 60440,3.0,1.5,"1,600", Natural Gas, Central Air, 1, 1, 0, 0, Full, Finished,," $3,310", 8

Single Family Residential,$29/month,2016,River Hills,,,, 3, Plainfield East High School,2453 River Hills Ln 60490,4.0,2.5,"3,238"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 14, Walkout," Unfinished,Exterior Access,Bathroom Rough-In",," $9,370.42", 11

Townhouse,$163/month,1970,Beaconridge,,,, 2, Bolingbrook High School,418 Greentree Ct 60440,3.0,1.5,"1,400"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0, Full, Finished,," $2,906", 7

Other,,1962,,,"$150,000",,,,526 Spruce Rd 60440,,1,"1,435",,,,, 0, 0,,,,,

Single Family Residential,,1979,Bolingbrook,,"$273,000",, 2, Bolingbrook High School,219 Seneca Way 60440,3.0,2.5,"1,900", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $7,158", 7

Single Family Residential,,1975,Bolingbrook,,,, 2,,349 Tarrington Way 60440,4.0,2,"1,909", Natural Gas, Central Air, 2,, 0, 8,, None,," $6,365.62", 8

Single Family Residential,,1971,Indian Oaks,,"$230,000",, 1,,425 Sierra Ln 60440,3.0,1,"1,210"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $4,943.90", 6

Townhouse,$250/month,2001,Bolingbrook,,,, 2, Bolingbrook High School,501 Goodwin Dr 60440,3.0,2.5,"1,890"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 0, Full, Unfinished,," $6,858", 6

Condo/Co-op,,2004,,,"$212,000",,,,1530 Envee Dr 60490,,2.5,"1,438",,,,, 0, 0,,,,,

Single Family Residential,,1972,Bolingbrook,,,, 2, Bolingbrook High School,310 Charlestown Dr 60440,4.0,2,"1,950"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $6,378.46", 8

Single Family Residential,$26/month,2000,Bolingbrook,,"$531,000",, 6,,2176 MARK CIR 60490,4.0,3.5,"4,094"," Natural Gas, Forced Air", Dual, 3, 1, 0, 0, Full, Finished,," $10,361.76", 9

Townhouse,$265/month,2002,Bolingbrook,,"$255,000",, 2,,4 Lily Ct 60440,2.0,3,"1,519", Natural Gas, Central Air, 2, 2, 0, 2, Full, Finished, 397," $6,762.02", 7

Single Family Residential,,1972,Ivanhoe,,,, 6,,118 Camelot Way 60440,3.0,2.5,"2,200", Natural Gas, Central Air, 2, 1, 16, 0,, None,," $8,702.76", 8

Single Family Residential,,1970,Bolingbrook,,,, 4, Bolingbrook High School,141 S Lancaster Dr 60440,3.0,1.5,"1,210", Natural Gas, Central Air, 1, 1, 0, 0,, None,," $5,012.84", 6

Single Family Residential,,1977,Winston Woods,,"$335,000",, 2, Bolingbrook High School,6 Keystone Ct 60440,3.0,2.5,"2,506"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial, Finished,," $7,983", 9

Single Family Residential,,1969,Bolingbrook,,"$219,000",, 1,,100 Cedarwood Ct 60440,3.0,1,"1,142", Natural Gas, Central Air, 1,, 0, 0,, None,," $4,930.92", 7

Townhouse,$162/month,2005,Whispering Oaks,,"$240,000",, 2, Bolingbrook High School,1481 Envee Dr 60490,2.0,2.5,"1,625"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Finished,," $6,539.28", 7

Single Family Residential,,1972,Bolingbrook,,"$250,000",, 2.5,,553 N Ashbury Ave 60440,5.0,3,"2,516"," Natural Gas, Forced Air", Central Air, 3,, 0, 0,, Slab,," $6,871.60", 9

Single Family Residential,$13/month,2001,Bloomfield West,,"$372,000",, 3, Plainfield East High School,1544 Schumacher Dr 60490,4.0,4,"2,133"," Natural Gas, Forced Air", Central Air, 4,, 0, 2, Full," Partially Finished,Egress Window"," 1,050"," $1,691", 10

Townhouse,$165/month,1974,Bolingbrook,,"$240,000",, 2,,447 Sullivan Cir 60440,3.0,2.5,"1,790"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $6,358.74", 7

Single Family Residential,$29/month,2004,Bolingbrook,,"$387,000",, 2,,154 Holly St 60490,4.0,2.5,"2,500", Natural Gas, Central Air, 2, 1, 0, 2, Full, Unfinished,," $12,267", 9

Single Family Residential,,1977,Bolingbrook,,,, 2,,168 Arrowhead Ln 60440,3.0,1.5,"1,768", Natural Gas, Central Air, 1, 1, 6, 0, English, Finished,," $4,992.92", 7

Single Family Residential,$28/month,2000,Somerfield,,,, 2, Plainfield East High School,1444 Sage Dr 60490,4.0,2.5,"3,238"," Natural Gas, Forced Air", Central Air, 2, 1, 18, 0, Partial," Unfinished,Crawl",," $10,007.06", 10

Single Family Residential,$29/month,2015,Bolingbrook,,"$520,000",, 3, Plainfield East High School,2157 Misty Creek Trl 60490,4.0,3.5,"2,875"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full," Partially Finished,Egress Window",," $9,449", 12

Other,,1973,,,"$283,538",,,,319 Assembly Dr 60440,,2,"1,587",,,,, 0, 0,,,,,

Single Family Residential,,1975,Peppertree,,,, 2, Bolingbrook High School,396 Ingleside Dr 60490,4.0,2.5,"1,746"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 6,, Crawl,," $6,499.34", 8

Single Family Residential,,1995,,,"$285,000",,,,389 Wildflower Way 60440,,4,"1,701",,,,, 0, 0,,,,,

Condo/Co-op,,2002,,,"$252,000",,,,118 Enclave Cir 60440,2.0,1.5,"1,566",,,,, 0, 0,,,,, 7

Condo,$212/month,1980,Dunhill Estates,,"$120,000",, 2, Bolingbrook High School,272 Canterbury Ln 60440,2.0,1,950, Electric,, 1,, 0, 0,, None,," $2,837.50", 5

Single Family Residential,$29/month,1999,Somerfield,,,, 2, Plainfield East High School,1456 Schoenherr Ave 60490,4.0,2.5,"2,240"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 8, Partial," Finished,Crawl",," $7,689.16", 7

Single Family Residential,,1975,Bolingbrook,,,, 1, Bolingbrook High School,224 Plainview Dr 60440,3.0,1,"1,211"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $3,658.26", 6

Condo/Co-op,,1985,,,"$160,000",,,,18 Fernwood Dr 60440,,1.5,"1,254",,,,, 0, 0,,,,,

Other,,2001,,,"$362,000",,,,858 Bell Flower Ln 60440,,2.5,"2,470",,,,, 0, 0,,,,,

Townhouse,$260/month,1992,Winston Village,,"$269,000",, 8, Bolingbrook High School,199 Pamela Dr 60440,3.0,3,"1,800", Natural Gas, Central Air, 2, 2, 0, 2, Full, Finished,," $6,970.14", 7

Condo,$197/month,1998,Town Centre Park,,"$178,000",, 2, Bolingbrook High School,365 Evening Star Ct 60440,2.0,1,912, Natural Gas, Central Air, 1,, 0, 2,, None,," $3,860.56", 5

Single Family Residential,,1995,Bolingbrook,,"$340,000",, 2, Bolingbrook High School,2 Sun Flower Ct 60440,3.0,2.5,"1,764", Natural Gas, Central Air, 2, 1, 0, 0, Partial, Unfinished,," $10,714", 7

Townhouse,$149/month,1971,Bolingbrook,,,, 1,,224 Foxhead Ct 60440,2.0,2,986, Natural Gas, Central Air, 2,, 0, 0, Full, Finished,," $2,679.04", 6

Single Family Residential,,1995,Cider Creek,,,, 2, Neuqua Valley High School,127 Periwinkle Ln 60490,5.0,3,"2,910"," Natural Gas, Forced Air", Central Air, 3,, 14, 0, Full," Partially Finished,Crawl",," $9,433.24", 11

Single Family Residential,,1972,Bolingbrook,,"$287,000",, 2.5,,226 Davis Ln 60440,3.0,2,"1,800"," Natural Gas, Forced Air", Central Air, 2,, 0, 2, English, Finished,," $6,070", 6

Single Family Residential,,1964,Bolingbrook,,"$250,000",, 1, Bolingbrook High School,181 N Pinecrest Rd 60440,5.0,2,"1,750"," Natural Gas, Forced Air", Central Air, 2,, 2, 2," Full, Walkout"," Finished,Crawl,Exterior Access,Rec/Family Area,Sleeping Area",," $6,316", 9

Other,,,,,"$325,000",,,,401 Bluebell Dr 60440,,,,,,,, 0, 0,,,,,

Single Family Residential,,1993,Winding Meadows,,,, 3, Romeoville High School,214 N Vincent Dr 60490,4.0,3,"2,150"," Natural Gas, Forced Air", Central Air, 3,, 16, 0, Full," Partially Finished,Sub-Basement",," $7,608", 9

Single Family Residential,,1975,Indian Oaks,,,, 2, Bolingbrook High School,634 Cochise Cir 60440,3.0,2.5,"1,948"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 0,, None,," $7,107.64", 7

Single Family Residential,,1995,Bolingbrook,,,, 2.5, Bolingbrook High School,219 Braemar Gln 60440,4.0,2.5,"2,311"," Natural Gas, Forced Air", Central Air, 2, 1, 12, 0,, None,," $7,495.86", 9

Single Family Residential,,1972,Bolingbrook,,"$180,000",, 2,,164 Galewood Dr 60440,3.0,1,"1,200"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $3,938", 5

Single Family Residential,,1962,Bolingbrook,,"$220,000",, 1, Bolingbrook High School,268 Edgehill Dr 60440,3.0,2,"1,162"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $4,686.64", 6

Single Family Residential,$30/month,2003,Augusta Village,,,, 2, Bolingbrook High School,145 Lilac St 60490,5.0,3.5,"2,470"," Natural Gas, Forced Air", Central Air, 3, 1, 12, 12, Full, Finished,," $11,849.08", 11

Other,,2004,,,"$385,000",,,,285 Palmer Dr 60490,,1.5,"2,267",,,,, 0, 0,,,,,

Single Family Residential,,1976,Bolingbrook,,,, 1, Bolingbrook High School,229 Lincolnshire Ln 60440,3.0,2,"1,133"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $5,309.92", 6

Townhouse,$199/month,1972,Winston Village,,"$181,000",, 1, Bolingbrook High School,209 Diane Ln 60440,3.0,2.5,"1,320"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Finished,," $5,406.84", 7

Single Family Residential,,1976,Bolingbrook,,"$275,000",, 4,,1101 Bramble Ave 60490,3.0,1.5,"1,145", Natural Gas, Central Air, 1, 1, 0, 0, Walkout, Finished,," $5,880", 8

Condo/Co-op,,2007,,,"$450,000",,,,1166 Betsy Ross Pl 60490,,2,"1,730",,,,, 0, 0,,,,,

Single Family Residential,,1981,Mending Wall,,"$445,000",, 2.5, South High School,2969 Two Paths Dr 60517,4.0,2.5,"3,503"," Natural Gas, Solar, Forced Air", Central Air, 2, 1, 0, 0," Full, Walkout", Unfinished,," $8,986.82", 8

Single Family Residential,,1976,Bolingbrook,,,, 2,,328 Appling Ln 60440,3.0,1.5,"1,300", Forced Air, Central Air, 1, 1, 0, 0,, None,," $4,137", 7

Other,,2000,,,"$314,900",,,,1535 Somerfield Dr 60490,,2.5,"1,885",,,,, 0, 0,,,,,

Other,,1968,,,"$175,000",,,,453 Salem Sq 60440,,1.5,"1,224",,,,, 0, 0,,,,,

Townhouse,$275/month,2001,Lily Field,,,, 2, Bolingbrook High School,21 Lily Ct 60440,2.0,3,"1,519"," Natural Gas, Forced Air", Central Air, 2, 2, 0, 0, Full, Finished,," $6,095.44", 7

Single Family Residential,,1963,,,"$215,000",,,,112 Stoneham Ct 60440,5.0,2,"1,600",,,,, 0, 0,,,,, 8

Single Family Residential,$26/month,2002,Foxridge Farms,,"$449,900",, 3, Plainfield East High School,1350 Rosemary Dr 60490,4.0,2.5,"3,444", Natural Gas, Central Air, 2, 1, 0, 2, Full, Unfinished,," $9,616", 9

Townhouse,$199/month,1973,Winston Village,,"$111,100",, 1,,513 Monroe Rd 60440,2.0,1.5,"1,180", Forced Air, Central Air, 1, 1, 0, 0, Full, Unfinished,," $4,872", 5

Condo/Co-op,,1998,,,"$230,000",,,,345 Evening Star Ct 60440,3.0,2.5,"1,732",,,,, 0, 0,,,,,

Townhouse,$162/month,1968,Beaconridge,,,, 2,,105 Williamsburg Ln 60440,2.0,1.5,888," Natural Gas, Forced Air", Central Air, 1, 1, 6, 0,, Cellar, 400," $2,395.32", 5

Single Family Residential,$281/month,2021,Liberty Green,,,, 3, Plainfield East High School,1094 Patricia Dr 60490,2.0,2,"1,793", Natural Gas, Central Air, 2,, 6, 8,, None,,, 7

Single Family Residential,,1972,Bolingbrook,,"$223,000",, 2,,202 Galewood Dr 60440,3.0,1,"1,133"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $4,438.04", 6

Single Family Residential,$281/month,2021,Liberty Green,,,, 2, Plainfield East High School,2035 Samantha Joy Way 60490,2.0,2,"1,683", Natural Gas, Central Air, 2,, 6, 4,, None,,, 7

Single Family Residential,,1969,Bolingbrook,,,, 2, Bolingbrook High School,228 N Ashbury Ave 60440,3.0,1.5,"1,300"," Natural Gas, Forced Air", Central Air, 1, 1, 10, 0,, None,," $5,025.80", 6

Single Family Residential,,1978,Cherrywood East,,,, 2,,692 Melissa Dr 60440,3.0,1,"1,322"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $5,431.30", 6

Single Family Residential,,1996,Heritage Creek,,"$438,000",, 2, Naperville Central High School,547 Cleavland Dr 60440,4.0,3.5,"2,434"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full, Finished," 1,216"," $9,467.60", 10

Single Family Residential,,1984,Willow Grove,,"$290,000",, 2, Bolingbrook High School,1042 Bothwell Cir 60440,3.0,2.5,"1,800"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $6,723", 7

Townhouse,$178/month,,Bolingbrook,,,, 2,,427 Greentree Ct 60440,2.0,1.5,"1,000", Natural Gas, Central Air, 1, 1, 0, 0, Partial, Finished,," $3,002.20", 6

Single Family Residential,,1979,Bolingbrook,,,, 1, Bolingbrook High School,659 Niagara Dr 60440,3.0,1,"1,096"," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $4,656.60", 5

Single Family Residential,,1972,Indian Oaks,,,, 5, Bolingbrook High School,172 Nottingham Dr 60440,3.0,1,"1,210"," Natural Gas, Forced Air", Central Air, 1,, 2, 0,, Slab,," $5,119.56", 7

Single Family Residential,,1997,Hickory Oaks,,,, 2, Bolingbrook High School,1 Beaver Creek Ct 60490,4.0,3.5,"2,421", Natural Gas, Central Air, 3, 1, 6, 6, Partial, Finished,," $8,445", 10

Other,,2003,,,"$345,000",,,,267 Clarendon Ln 60440,,2.5,"1,579",,,,, 0, 0,,,,,

Single Family Residential,,1999,Bolingbrook,,"$345,000",, 2,,741 Rebecca Ln 60440,4.0,2.5,"2,058"," Natural Gas, Forced Air",, 2, 1, 0, 0, Full, Unfinished,," $8,061.88", 8

Single Family Residential,,1971,Bolingbrook,,"$265,000",, 2.5, Bolingbrook High School,160 Springleaf Dr 60440,5.0,2,864," Natural Gas, Forced Air", Central Air, 2,, 0, 2, Full, Finished, 864," $5,426.74", 8

Single Family Residential,,1994,The Trails,,"$345,000",, 3,,660 Tall Grass Dr 60440,3.0,2.5,"1,950", Natural Gas, Central Air, 2, 1, 0, 0, Partial," Unfinished,Crawl",," $9,405", 7

Single Family Residential,$36/month,2004,Claridge Estates,,,, 3, Bolingbrook High School,320 Claridge Cir 60440,4.0,2.5,"3,686"," Natural Gas, Forced Air, Zoned", Central Air, 2, 1, 10, 0, Full, Unfinished,," $12,613.58", 10

Single Family Residential,$13/month,2004,Barclay Estates,,"$495,000",, 3, Bolingbrook High School,717 Lindsey Ln 60440,4.0,4,"3,888", Natural Gas," Central Air, Zoned", 4,, 2, 2, Full, Finished,," $13,388.28", 12

Single Family Residential,,1988,Bolingbrook,,"$333,500",, 2,,1400 Fawn Ct 60490,4.0,2,"1,902", Natural Gas, Central Air, 2,, 0, 0, Full, Finished,," $6,820.58", 10

Single Family Residential,$36/month,2005,Bolingbrook,,,, 2,,996 Ashbrook Cir 60440,3.0,2,"2,436", Natural Gas, Central Air, 2,, 8, 2, Full, Unfinished,," $11,689.50", 6

Single Family Residential,,1968,Bolingbrook,,"$270,000",, 2.5,,248 Meadowbrook Dr 60440,3.0,2,"1,600", Natural Gas, Central Air, 2,, 0, 2,, None,," $4,952.36", 6

Townhouse,$190/month,1991,Sherwood Commons,,"$210,000",, 2,,365 Lakeview Cir 60440,2.0,2,"1,306"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $4,034", 4

Single Family Residential,,1993,Bolingbrook,,,, 2,,3 Boulder Ridge Ct 60490,3.0,2.5,"2,225"," Natural Gas, Forced Air", Central Air, 2, 1, 16, 0, Full, Finished,," $8,826", 9

Single Family Residential,,1992,Lakewood Farms,,"$340,000",, 2, Bolingbrook High School,585 Buckboard Rd 60490,3.0,2.5,"1,742"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Partial, Partially Finished,," $8,223.02", 9

Single Family Residential,,1992,Lakewood Farms,,,, 8,,621 Buckboard Rd 60490,4.0,2.5,"1,900"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Partial," Finished,Crawl", 900," $8,419.74", 11

