Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
Townhouse,$280/month,2016,Mayfair,,,, 2, Metea Valley High School,2942 Henley Ln 60540,3.0,3.5,"2,725"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 8," Full, Walkout", Finished,," $8,970", 6

Single Family Residential,,1976,,,"$421,500",,,,1334 Sunnybrook Dr 60540,4.0,2,"1,708",,,,, 0, 0,,,,, 8

Single Family Residential,,1966,Century Hill,,"$483,000",, 2, Naperville North High School,25W257 Gunston Ave 60540,4.0,2.5,"2,779"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Partially Finished,," $8,703.50", 10

Townhouse,$222/month,2021,Emerson Park,,"$397,600",, 2, Waubonsie Valley High School,4350 Monroe Lot09 01 AVE 60564,3.0,2.5,"1,998", Natural Gas, Central Air, 2, 1, 0, 0,, Slab,,, 6

Single Family Residential,,1976,Naper Carriage Hill,,"$565,000",, 2, Naperville Central High School,1937 Wellington Ct 60565,4.0,3.5,"2,778"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full," Finished,Crawl"," 1,115"," $9,202", 12

Townhouse,$205/month,1998,Naperville,,,, 2,,1056 Sheridan Cir 60563,2.0,2.5,"1,715"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $5,177.76", 6

Single Family Residential,,1958,,,"$382,000",,,,430 W Gartner Rd 60540,3.0,1.5,"2,184",,,,, 0, 0,,,,, 7

Single Family Residential,,1981,,,"$675,000",,,,1218 Langley Cir 60563,4.0,2.5,"2,902",,,,, 0, 0,,,,, 12

Single Family Residential,$58/month,2000,Tall Grass,,"$657,500",, 3, Waubonsie Valley High School,3335 Tall Grass Dr 60564,4.0,2.5,"2,989", Natural Gas, Central Air, 2, 1, 2, 2, Full, Finished," 1,650"," $12,468", 10

Single Family Residential,$56/month,2021,Wagner Farms,,"$560,401",, 2, Neuqua Valley High School,2967 Lancelot Ln 60564,4.0,2.5,"2,386", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,, 10

Single Family Residential,,,Spring Hill,,"$295,000",, 2, Naperville North High School,725 Hageman Pl 60563,3.0,1.5,"1,602"," Natural Gas, Forced Air", Central Air, 1, 1, 0, 0,, None,," $5,458", 6

Single Family Residential,,1952,Naperville,,"$465,000",, 2.5, Naperville North High School,110 S Ellsworth St 60540,3.0,2.5,"1,920", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished," 1,280"," $10,094.32", 8

Single Family Residential,,1986,Naperville,,,, 2, Neuqua Valley High School,2437 Newport Dr 60565,4.0,2.5,"2,256"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 14, Partial, Finished,," $7,797", 9

Single Family Residential,,1984,,,"$640,000",,,,1420 Knoll Dr 60565,,2.5,"1,852",,,,, 0, 0,,,,,

Townhouse,,1991,,,"$593,333",,,,1513 Wexford Pl 60564,2.0,2.5,"3,170",,,,, 0, 0,,,,, 7

Other,,2005,,,"$1,025,000",,,,2415 Skylane Dr 60564,,6.5,"5,494",,,,, 0, 0,,,,,

Condo,$218/month,1997,Crosswinds,,,, 1, Neuqua Valley High School,2917 Stockton Ct 60564,2.0,1,"1,200"," Natural Gas, Forced Air", Central Air, 1,, 4, 2,, None,," $4,012", 5

Single Family Residential,,1983,Campus Green,,"$467,000",, 2.5, Naperville Central High School,1508 Loyola Dr 60565,4.0,3,"2,519", Natural Gas, Central Air, 3,, 0, 2, Full," Partially Finished,Crawl"," 1,006"," $8,394.06", 10

Single Family Residential,$6/month,1996,Ivy Ridge,,,, 2, Metea Valley High School,924 Pimpernel Ct 60540,4.0,2.5,"2,014"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 8, Full, Finished, 972," $8,520.08", 8

Single Family Residential,,1976,Naperville,,,, 2, Neuqua Valley High School,11S744 McGrath Ln 60564,3.0,2.5,23," Natural Gas, Forced Air", Central Air, 2, 1, 10, 6, Partial, Unfinished,," $6,796.36", 8

Townhouse,$220/month,2021,Naperville Crossings,,"$425,260",, 2, Waubonsie Valley High School,2924 Reflection Dr 60564,3.0,3,"2,047"," Natural Gas, Forced Air", Central Air, 2, 2, 0, 0,, None,,, 7

Single Family Residential,,1976,Naperville,,,, 2, Metea Valley High School,30W224 Briar Ln 60563,3.0,2,"1,700", Natural Gas, Central Air, 2,, 0, 10, Partial, Crawl,," $6,486.08", 7

Townhouse,,1998,,,"$330,000",,,,854 Havenshire Rd 60565,2.0,3,"2,027",,,,, 0, 0,,,,, 5

Single Family Residential,,1976,Old Farm,,,, 2, Naperville Central High School,341 Cedarbrook Rd 60565,4.0,2.5,"2,441", Natural Gas, Central Air, 2, 1, 12, 0, Full, Unfinished, 725," $7,462.48", 9

Other,,1997,,,"$585,000",,,,2915 Beth Ln 60564,,3.5,"3,338",,,,, 0, 0,,,,,

Single Family Residential,,1987,,,"$424,667",,,,384 Prairie Knoll Dr 60565,,2,"2,508",,,,, 0, 0,,,,,

Single Family Residential,,2016,Naperville Heights,,,, 2, Naperville North High School,1212 Eagle St 60563,4.0,3.5,"3,650", Natural Gas, Central Air, 3, 1, 12, 12, Full," Unfinished,Bathroom Rough-In"," 1,590"," $18,326.60", 10

Condo,$755/month,2006,Naperville,,"$649,000",, 1, Naperville Central High School,520 S Washington St 60540,2.0,2.5,"1,936"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $8,679.68", 5

Townhouse,$177/month,1996,Kingspointe,,"$259,000",, 1, Metea Valley High School,906 Sheridan Cir 60563,2.0,2.5,"1,622"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 0,, Slab,," $5,357.60", 6

Single Family Residential,,1860,Naperville,,,, 4, Naperville North High School,220 Center St 60540,3.0,2,"2,152", Natural Gas," Central Air, Zoned", 2,, 0, 2," Full, Walkout", Unfinished,," $9,670", 8

Single Family Residential,,1981,Longwood,,"$349,900",, 2, Metea Valley High School,5S542 Tartan Ln 60563,3.0,2,"1,788"," Natural Gas, Forced Air", Central Air, 2,, 0, 2, English, Finished, 616," $5,202", 7

Single Family Residential,,1989,Naperville,,"$395,000",, 2, Metea Valley High School,1013 Prairie View Ct 60563,4.0,2.5,"2,378", Natural Gas, Central Air, 2, 1, 0, 2, Full," Finished,Egress Window",," $8,380.64", 8

Single Family Residential,,1970,Maplebrook II,,,, 2, Naperville Central High School,1524 Chat Ct 60565,4.0,3.5,"2,750", Natural Gas, Central Air, 3, 1, 0, 22, Full, Finished,," $8,607", 11

Condo,$316/month,1980,Pembrooke Courts,,"$159,000",, 1, Naperville North High School,91 Olesen Dr 60540,2.0,2,"1,159"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, Slab,," $3,185.16", 5

Other,,2005,,,"$581,000",,,,2959 Forest Creek Ln 60565,,2.5,"3,157",,,,, 0, 0,,,,,

Single Family Residential,$6/month,1989,High Oaks,,,, 3, Naperville Central High School,1685 Greene Ridge Dr 60565,5.0,5,"3,519"," Natural Gas, Forced Air", Central Air, 4, 2, 0, 2, Partial," Finished,Crawl"," 1,253"," $11,876.38", 12

Single Family Residential,$71/month,1990,Breckenridge Estates,,,, 3, Neuqua Valley High School,724 Mesa Dr 60565,5.0,4,"4,066"," Natural Gas, Forced Air"," Central Air, Zoned, Gas, Dual", 4,, 2, 12, Full," Finished,Crawl",," $14,787.38", 12

Single Family Residential,,1982,,,"$419,500",,,,216 N Laird St 60540,3.0,1,"1,448",,,,, 0, 0,,,,, 5

Single Family Residential,$17/month,1999,High Meadow,,,, 3, Neuqua Valley High School,5312 Prairie Sage Ln 60564,4.0,2.5,"3,364", Natural Gas, Central Air, 2, 1, 16, 0, Full, Unfinished,," $12,236.76", 10

Single Family Residential,,1909,Naperville,,,, 3.5, Naperville North High School,223 N Ellsworth St 60540,4.0,3.5,"2,710"," Natural Gas, Steam, Radiator(s), Zoned"," Central Air, Space Pac", 3, 1, 2, 24, Partial," Unfinished,Crawl,Storage Space",," $11,908.10", 9

Single Family Residential,,1994,Brookwood Trace,,,, 3, Neuqua Valley High School,2712 Gleneagles Ct 60565,4.0,3.5,"2,783"," Natural Gas, Forced Air", Central Air, 3, 1, 12, 12, Partial," Finished,Crawl", 845," $11,102", 13

Condo/Co-op,,1981,,,"$212,667",,,,42 Plymouth Ct 60565,,2,"1,250",,,,, 0, 0,,,,,

Townhouse,$200/month,1975,Huntington,,"$260,000",, 1, Naperville North High School,25W047 Keswick Ln 60540,3.0,2.5,"1,404"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 2, Full," Finished,Rec/Family Area,Storage Space", 660," $4,523.06", 7

Single Family Residential,$19/month,2005,Timber Creek,,,, 3, Neuqua Valley High School,2715 Forest Creek Ln 60565,5.0,3.5,"4,742", Natural Gas, Central Air, 3, 1, 10, 12, Full, Unfinished,," $13,935.62", 10

Single Family Residential,,2004,Naperville,,,, 2, Naperville North High School,5S590 Radcliff Rd 60563,4.0,3.5,"2,794"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Partial, Finished,," $9,547.12", 10

Single Family Residential,,1926,Naperville,,"$351,250",, 3, Naperville North High School,229 N Mill St 60540,2.0,2,"1,106"," Natural Gas, Baseboard",, 2,, 0, 2, Full, Partially Finished,," $6,268.90", 5

Single Family Residential,,1978,Naperville,,"$350,000",, 2, Naperville North High School,327 Pearson Cir 60563,4.0,2.5,"1,859", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished," 1,243"," $8,511", 8

Single Family Residential,$33/month,1999,Century Farms,,,, 2.5, Naperville North High School,643 Conestoga Rd 60563,4.0,3.5,"2,941"," Natural Gas, Forced Air", Central Air, 3, 1, 2, 22, Partial," Partially Finished,Crawl",," $10,928.48", 11

Condo/Co-op,,2002,,,"$355,000",,,,922 Shandrew Dr 60540,2.0,2.5,"2,070",,,,, 0, 0,,,,, 5

Townhouse,$226/month,2002,Windridge,,,, 2, Neuqua Valley High School,2955 White Thorn Cir 60564,2.0,2.5,"1,337"," Natural Gas, Forced Air", Central Air, 2, 1, 4, 0,, Slab,," $5,090.74", 6

Townhouse,$330/month,2000,Deer Crossing,,"$300,000",, 2, Waubonsie Valley High School,922 Havenshire Ct 60565,3.0,2.5,"1,676"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Unfinished,," $5,897.82", 7

Townhouse,$302/month,2008,Tall Grass,,,, 2, Waubonsie Valley High School,3140 Saganashkee Ln 60564,3.0,3.5,"2,065", Natural Gas, Central Air, 3, 1, 8, 10, Full, Partially Finished,," $7,130.20", 8

Townhouse,$13/month,1997,Naperville,,"$260,000",, 2, Neuqua Valley High School,2815 Cedar Glade Dr 60564,3.0,2.5,"1,502"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, Slab,," $5,308.68", 6

Townhouse,$329/month,2015,English Rows,,,, 2, Neuqua Valley High School,4109 Royal Mews Cir 60564,3.0,2.5,"2,021"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 18, Partial, Finished, 222," $7,666", 8

,,,,,"$3,000/mo",,,,1265 Haverhill Cir 60563,4.0,3,"1,729",,,,, 0, 0,,,,,

Single Family Residential,$13/month,1994,Lakewood Crossing,,,, 2, Metea Valley High School,2028 Crossing Ln 60540,3.0,2.5,"2,147"," Natural Gas, Forced Air", Central Air, 2, 1, 6, 6, Partial, Finished, 682," $7,522.60", 8

Condo,$508/month,2005,Essex Place,,"$315,000",, 1, Naperville North High School,104 E 11th Ave 60563,2.0,2,"1,809"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $7,470.24", 6

Single Family Residential,$23/month,2002,Penncross Knoll,,,, 3,,3331 Lapp Ln 60564,5.0,4.5,"3,403"," Natural Gas, Forced Air", Central Air, 4, 1, 0, 2, Full, Finished,," $12,937.62", 11

Single Family Residential,$75/month,2017,Atwater,,,, 2, Metea Valley High School,1476 Bayou Path Dr 60563,3.0,3.5,"3,482", Natural Gas, Central Air, 3, 1, 0, 0, Full, Finished," 1,080"," $9,964.22", 11

Single Family Residential,,1985,,,"$645,000",,,,372 Waterside Ct 60540,3.0,2,"2,534",,,,, 0, 0,,,,,

Single Family Residential,,1983,Columbia Estates,,,, 2, Naperville North High School,914 Monticello Dr 60563,4.0,2.5,"2,977"," Natural Gas, Forced Air", Central Air, 2, 1, 18, 2, Partial," Partially Finished,Crawl"," 1,178"," $11,820.06", 11

Townhouse,$230/month,1986,Country Lakes,,,, 2, Metea Valley High School,1619 Prestwick Dr 60563,3.0,2.5,"1,518"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 0,, None,," $4,498.18", 6

Condo/Co-op,,1994,,,"$190,000",,,,5S541 Paxton Dr 60563,2.0,2,"1,353",,,,, 0, 0,,,,, 5

Townhouse,$308/month,2000,Riverbrook West,,,, 2, Metea Valley High School,1748 Windward Ave 60563,2.0,2.5,"1,334"," Natural Gas, Forced Air, Steam", Central Air, 2, 1, 0, 0, Full, Finished,," $4,822.18", 6

Townhouse,,1997,,,"$316,000",,,,820 Havenshire Rd 60565,2.0,2,"1,727",,,,, 0, 0,,,,, 6

Single Family Residential,$46/month,1983,Cress Creek Commons,,,, 2, Naperville North High School,1007 W Bauer Rd 60563,4.0,2.5,"2,960"," Natural Gas, Forced Air", Central Air, 2, 1, 16, 12, Full," Finished,Partially Finished"," 1,554"," $10,967.84", 13

Single Family Residential,,2013,Naperville,,"$1,575,000",, 2.5, Naperville North High School,925 W Benton Ave 60540,5.0,4.5,"4,628", Natural Gas," Central Air, Zoned", 4, 1, 0, 2, Full, Partially Finished," 2,433"," $30,073.28", 16

Condo,$305/month,2001,Enclave at Country Lakes,,"$244,000",, 2, Metea Valley High School,738 Woodewind Dr 60563,2.0,2,"1,510"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $4,376", 6

Townhouse,$166/month,1996,Kingspointe,,"$255,000",, 1, Metea Valley High School,941 Sheridan Cir 60563,2.0,2.5,"1,400"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0,, None,," $4,426.10", 6

Condo/Co-op,,,,,"$250,000",,,,2562 Golf Ridge Cir 60563,,,,,,,, 0, 0,,,,,

Townhouse,$281/month,2000,Naperville,,,, 2, Metea Valley High School,807 Genesee Dr 60563,2.0,2.5,"1,412", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $4,196.84", 5

Townhouse,$300/month,1995,Woodland Park Estates,,"$370,000",, 2.5, Naperville North High School,920 Elderberry Cir 60563,3.0,2.5,"1,763", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $4,995.12", 6

Condo,$288/month,1994,White Eagle,,,, 1, Waubonsie Valley High School,1455 Aberdeen Ct 60564,2.0,2.5,"1,254", Natural Gas, Central Air, 2, 1, 0, 0," Full, English", Finished, 600," $7,395", 6

Townhouse,$279/month,2002,Enclave at Country Lakes,,,, 1, Metea Valley High School,2562 Golf Ridge Cir 60563,2.0,2,"1,200"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, Slab,," $3,993", 5

Single Family Residential,$61/month,2000,Tall Grass,,,, 3,,3828 Sunburst Ln 60564,5.0,4,"3,052"," Natural Gas, Forced Air", Central Air, 4,, 18, 10, Full, Finished," 1,682"," $13,041", 13

Townhouse,$13/month,1996,Woodlake,,,, 1, Neuqua Valley High School,2609 Idaho Rd 60564,2.0,2.5,"1,502"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 0,, None,," $3,601", 6

Single Family Residential,,1968,Will-O-Way,,,, 2, Naperville Central High School,1213 Evergreen Ave 60540,4.0,2.5,"2,467", Natural Gas, Central Air, 2, 1, 14, 8, Partial, Finished,," $9,131", 10

Single Family Residential,,1985,Brook Crossing,,,, 2, Neuqua Valley High School,1313 Fieldstone Ct 60564,4.0,2.5,"2,406", Natural Gas, Central Air, 2, 1, 10, 8, Full, Unfinished,," $8,681", 9

Condo,$369/month,1972,Naperville,,,, 2,,124 E Bailey Rd 60565,2.0,1.5,"1,000", Electric,, 1, 1, 0, 0,, None,," $2,399.24", 4

Single Family Residential,,1957,Naperville Heights,,"$360,000",, 2, Naperville North High School,29 W 13th Ave 60563,3.0,2,"1,248"," Natural Gas, Forced Air", Central Air, 2,, 2, 2, Full, Finished, 988," $6,182.44", 8

Single Family Residential,$3/month,1989,West Wind Estates,,,, 2, Metea Valley High School,927 Whitewater Ln 60540,5.0,3.5,"3,313", Natural Gas, Central Air, 3, 1, 12, 18, Partial," Finished,Crawl"," 1,304"," $12,372.22", 13

Townhouse,$20/month,1984,Hobson Creek,,"$268,000",, 2, Naperville North High School,23W447 Greenbriar Dr 60540,3.0,2.5,"1,434", Natural Gas, Central Air, 2, 1, 0, 0,, None,," $3,577.44", 6

Single Family Residential,,1993,,,"$795,000",,,,3211 Treyburn Rd 60564,5.0,4.5,"5,200",,,,, 0, 0,,,,, 10

Single Family Residential,,1987,West Wind Estates,,"$710,000",, 2, Metea Valley High School,706 Whitebark Ct 60540,5.0,3,," Natural Gas, Forced Air", Central Air, 3,, 0, 2, Full," Finished,Partially Finished,Bathroom Rough-In,Rec/Family Area,Storage Space",," $12,583.36", 10

Single Family Residential,,1975,Farmstead,,,, 2, Naperville Central High School,1118 Knoll Dr 60565,4.0,2.5,"2,476"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 14, Full, Partially Finished,," $8,342.28", 10

Single Family Residential,$6/month,1988,Knoch Knolls,,"$610,000",, 2, Neuqua Valley High School,517 De Lasalle Ave 60565,4.0,2.5,"3,162"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Partial," Finished,Crawl",," $10,212.36", 12

Single Family Residential,$92/month,1998,Stillwater,,,, 2, Neuqua Valley High School,2412 Foxboro Ln 60564,4.0,3.5,"3,000"," Natural Gas, Forced Air", Central Air, 3, 1, 16, 8, Full, Finished,," $12,671.06", 12

Single Family Residential,,1989,Springbrook Crossing,,"$422,000",, 2, Neuqua Valley High School,1328 Peshtigo Ave 60564,4.0,2.5,"2,166"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Partial, Partially Finished,," $8,353", 10

Single Family Residential,,1977,Pembroke Greens,,"$530,000",, 2.5, Naperville North High School,1249 Blackburn Ct 60540,4.0,3,"2,774"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Partially Finished,," $9,182.70", 9

Townhouse,$420/month,2011,Carillon Club,,,, 2,,2622 Camberley Cir 60564,3.0,3,"1,651"," Natural Gas, Forced Air", Central Air, 3,, 12, 0, Full, Finished," 1,729"," $7,898.18", 8

Single Family Residential,,1994,,,"$390,000",,,,619 Caraway Ct 60540,4.0,2.5,"2,035",,,,, 0, 0,,,,, 7

Townhouse,$395/month,1991,Naperville,,,, 2, Waubonsie Valley High School,1511 Wexford Pl 60564,4.0,3.5,"1,982"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 8, Full," Finished,Sleeping Area,Storage Space"," 1,022"," $9,809.08", 7

Single Family Residential,,1986,,,"$645,500",,,,285 Winding Creek Dr 60565,,2.5,"2,881",,,,, 0, 0,,,,,

Single Family Residential,,1978,,,"$529,000",,,,1382 Deep Run Rd 60540,4.0,2.5,"2,333",,,,, 0, 0,,,,, 8

Single Family Residential,,1989,Country Lakes,,"$431,000",, 3, Metea Valley High School,2027 Bunker Cir 60563,5.0,3.5,"3,831"," Natural Gas, Forced Air", Central Air, 3, 1, 0, 2, Full, Finished,," $10,091.22", 9

Single Family Residential,,1983,University Heights,,"$392,000",, 2.1, Naperville Central High School,1520 77th St 60565,3.0,3,"1,590"," Natural Gas, Forced Air", Central Air, 3,, 0, 2, Full, Finished,," $7,453", 8

Townhouse,$363/month,2004,Vintage Club,,"$370,000",, 2, Metea Valley High School,2630 Blakely Ln 60540,3.0,2.5,"2,097"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Walkout, Finished,," $7,507.50", 7

Townhouse,$265/month,2011,Mayfair,,"$423,000",, 2, Metea Valley High School,2753 Blakely Ln 60540,3.0,2.5,"2,110"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Unfinished,," $9,533.14", 6

Single Family Residential,$83/month,1998,Stillwater,,"$700,000",, 3, Neuqua Valley High School,2412 Williamstown Ct 60564,5.0,4.5,"5,046", Natural Gas, Central Air, 4, 1, 0, 2, Full, Finished,," $14,226", 13

Condo/Co-op,,1987,,,"$226,000",,,,400 Kensington Ct 60563,2.0,1.5,"1,100",,,,, 0, 0,,,,,

Single Family Residential,,1998,Olesen Estates,,"$555,000",, 2, Naperville North High School,216 Olesen Dr 60540,3.0,2.5,"3,094"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Unfinished,," $13,808", 8

Townhouse,$305/month,1996,Riverbrook,,,, 1, Metea Valley High School,655 Beaver Ct 60563,2.0,1.5,"1,482"," Natural Gas, Forced Air", Central Air, 1, 1, 6, 0,, None,," $4,386.86", 6

Single Family Residential,,2006,,,"$842,500",,,,4771 Sassafras Ln 60564,4.0,4.5,"4,429",,,,, 0, 0,,,,, 12

